Gene_ID,Gene_Name
GeneID:17978,Ncoa2
GeneID:67923,Tceb1
GeneID:329101,D030040B21Rik
GeneID:70397,Tmem70
GeneID:17087,Ly96
GeneID:14859,Gsta3
GeneID:213539,Bag2
GeneID:98403,Zfp451
GeneID:320705,Bend6
GeneID:214855,Arid5a
GeneID:68833,Pdcl3
GeneID:619289,Rfx8
GeneID:26921,Map4k4
GeneID:14200,Fhl2
GeneID:246229,Bivm
GeneID:22592,Ercc5
GeneID:433297,Gm5526
GeneID:442821,9330175M20Rik
GeneID:17912,Myo1b
GeneID:20849,Stat4
GeneID:20846,Stat1
GeneID:329154,Ankrd44
GeneID:15510,Hspd1
GeneID:15528,Hspe1
GeneID:68549,Sgol2
GeneID:11761,Aox1
GeneID:213043,Aox3l1
GeneID:227157,Mpp4
GeneID:74018,Als2
GeneID:14369,Fzd7
GeneID:100042533,Gm11578
GeneID:18187,Nrp2
GeneID:14768,Lancl1
GeneID:71134,4933417E11Rik
GeneID:433319,Gm5528
GeneID:16011,Igfbp5
GeneID:241112,Gm216
GeneID:18173,Slc11a1
GeneID:227292,Ctdsp1
GeneID:387219,Mir26b
GeneID:319651,Usp37
GeneID:58184,Rqcd1
GeneID:12570,Cdk5r2
GeneID:68818,Zfand2b
GeneID:74104,Abcb6
GeneID:245860,Atg9a
GeneID:56812,Dnajb2
GeneID:71728,Stk11ip
GeneID:14897,Trip12
GeneID:66153,Fbxo36
GeneID:70060,Spata3
GeneID:72792,2810459M11Rik
GeneID:70247,Psmd1
GeneID:71863,1700019O17Rik
GeneID:73475,1700067G17Rik
GeneID:16978,Lrrfip1
GeneID:208727,Hdac4
GeneID:227399,Ppip5k2
GeneID:252876,Gin1
GeneID:22625,Map3k19
GeneID:226412,R3hdm1
GeneID:67812,Ubxn4
GeneID:18640,Pfkfb2
GeneID:226418,Yod1
GeneID:14270,Srgap2
GeneID:226421,5430435G22Rik
GeneID:71001,4931440L10Rik
GeneID:75605,Kdm5b
GeneID:93689,Lmod1
GeneID:77552,Shisa4
GeneID:215690,Nav1
GeneID:59125,Nek7
GeneID:19731,Rgl1
GeneID:16782,Lamc2
GeneID:226519,Lamc1
GeneID:15939,Ier5
GeneID:104009,Qsox1
GeneID:11352,Abl2
GeneID:226527,BC026585
GeneID:240869,Zbtb37
GeneID:14455,Gas5
GeneID:100628588,Mir5117
GeneID:100217446,Snord47
GeneID:11758,Prdx6
GeneID:103967,Dnm3
GeneID:474332,Dnm3os
GeneID:723821,Mir199a-2
GeneID:387210,Mir214
GeneID:226564,Fmo4
GeneID:98376,Gorab
GeneID:66352,Blzf1
GeneID:171567,Nme7
GeneID:11931,Atp1b1
GeneID:56429,Dpt
GeneID:75857,4930568G15Rik
GeneID:83993,Tbx19
GeneID:433375,Creg1
GeneID:80914,Uck2
GeneID:78465,1700084C01Rik
GeneID:18214,Ddr2
GeneID:76816,Sdccag8
GeneID:68226,Efcab2
GeneID:100503705,Gm19846
GeneID:208795,Tmem63a
GeneID:13849,Ephx1
GeneID:67948,Fbxo28
GeneID:96935,Susd4
GeneID:68897,Disp1
GeneID:100504508,BC085271
GeneID:338366,Mia3
GeneID:21808,Tgfb2
GeneID:22283,Ush2a
GeneID:19250,Ptpn14
GeneID:100504360,D730003I15Rik
GeneID:16510,Kcnh1
GeneID:12490,Cd34
GeneID:320400,Gm16897
GeneID:320977,A330023F24Rik
GeneID:723963,Mir29b-2
GeneID:387224,Mir29c
GeneID:17221,Cd46
GeneID:12946,Cr1l
GeneID:12902,Cr2
GeneID:670558,H60c
GeneID:213783,Plekhg1
