Symbol,SIDM00551,SIDM00478,SIDM00326,SIDM01026,SIDM01028,SIDM00278,SIDM00250,SIDM01032,SIDM01031,SIDM01024,SIDM01027,SIDM00956,SIDM00347,SIDM00325,SIDM01025,SIDM00349,SIDM00052,SIDM01029,SIDM00322
ABCE1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ACTL6A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALG11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ANAPC1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ANAPC4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ANAPC5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ANKLE2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AQR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARCN1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARIH1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATP6V0C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATP6V1A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATP6V1B2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATP6V1D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATP6V1E1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AURKB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BANF1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BCL2L2-PABPN1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BET1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BIRC5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRF2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BUB3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C1orf131,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C9orf114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CARS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CBWD1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCDC94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCT2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCT3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCT6A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCT7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCT8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDC123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDC16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDC23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
