Genes	COLO680N	ECGI10	KYSE140	KYSE150	KYSE180	KYSE270	KYSE410	KYSE450	KYSE510	KYSE520	KYSE70	OE21	TE10	TE11	TE15	TE1	TE4	TE5	TE6	TE8	TE9	TT
PGD	35.2237	56.4239	94.9333	52.817	62.8405	85.3542	71.1585	60.0402	197.094	217.31	554.324	122.465	61.2333	393.845	70.3533	57.4846	73.7118	57.1162	404.631	72.8624	87.0256	229.833
TMEM51	8.07348	2.65519	4.6853	7.31914	3.093	9.18457	8.12085	3.48888	10.2553	7.10863	1.90703	3.3161	8.0053	14.0605	6.47549	7.29205	3.94488	8.14583	2.48928	3.0857	10.899	3.74794
ARTN	1.1036	9.42559	13.1331	0.237862	6.08122	3.35219	0.446251	8.21745	4.11532	9.70816	14.6766	10.465	5.85802	23.4932	7.89642	3.83143	0.0192725	1.38007	22.6466	0.599358	8.47021	4.69782
PRDX1	225.9	210.997	511.744	171.141	575.474	464.044	360.135	248.379	893.44	494.563	939.02	598.172	470.11	1000.14	359.178	526.021	329.499	293.658	736.148	230.868	582.088	263.947
MKNK1	8.70329	6.32465	6.08787	8.63178	7.35718	12.4001	7.15304	4.86876	9.39469	8.89795	8.48402	7.17643	7.60947	14.1486	8.5476	9.30591	4.33628	5.1166	4.1121	6.60362	12.2329	8.97245
LRP8	8.12626	8.02763	9.72285	12.6715	14.9194	15.1812	8.19477	6.1205	20.4622	11.4661	19.9736	7.07036	7.90394	17.2085	10.8378	9.93062	12.5944	2.49001	17.5191	3.7454	8.43779	7.77862
TTLL7	0.361187	0.30214	1.42109	0.001643	0.400167	2.6248	0.735533	0.276864	0.345839	1.66538	1.47925	0.290745	0.497428	0.973051	0.373125	4.40319	1.2062	0.723565	3.8465	3.87997	0.805822	0.0806379
GCLM	4.26409	21.2364	5.3405	8.5915	25.63	7.05135	12.9147	13.3196	23.6944	23.0253	13.3925	23.4116	4.98448	53.858	12.3795	16.355	7.32315	7.28148	61.7333	8.71883	10.9226	6.75975
GSTM4	3.49926	0.374087	0.0169505	0.0064512	3.15734	1.97529	0.17819	0.913091	0.274555	2.45393	0.0407941	5.4069	0.0748786	3.47838	0.545654	0.634946	0.431656	1.88132	13.4622	1.36849	0.594	9.97896
GSTM2	0.754594	0.0427263	0.0112933	0.0064472	1.05179	0.0701889	0	0.0356803	0.0175256	3.73829	39.6085	0.587275	0.0106145	1.53527	0.106452	0.419842	0.050845	0.245144	12.7385	0.0127519	0.113073	13.5783
GSTM1	0	0.0327975	0.0936247	0.0395922	0.0376693	0.032327	0.0341743	0	0	0.113545	0.471831	0.0244411	0.273769	44.812	5.3284	28.6742	0.160997	0.0392718	153.177	0.425804	0.105921	172.29
