Gene ID,Gene Name,Chromosome,Gene Start,Gene End,Gene Length,Gene Strand,IntervalCount,Intervals,Interval Dists to Start,Interval Pos,1_WT_NRF2::1 Present,2_Nrf2_dbminus_NRF2::1 Present,3_Keap1_dbminus_NRF2::1 Present,1_WT_NRF2::1 AvgPeak,2_Nrf2_dbminus_NRF2::1 AvgPeak,3_Keap1_dbminus_NRF2::1 AvgPeak,ActRegCount,Peak Sample,Peak Value,UCSC Link,Altsymbols,Full Description,RNA,Affy Tag,PROT
GeneID:17978,Ncoa2,1,"13,139,159","13,374,083","234,924",-,2,"3_Keap1_dbminus_NRF2::1::0, 3_Keap1_dbminus_NRF2::1::1","185427, 169379","in gene, in gene",0,0,1,5.50,5.00,17.50,2,3_Keap1_dbminus_NRF2::1,18,Gene Ncoa2,"SRC-2, 9530095N19, TIF2, D1Ertd433e, Grip1, bHLHe75, Ncoa2, GRIP-1, TIF-2, KAT13C",nuclear receptor coactivator 2,"NM_008678.2, NM_001077695.1","1435233_at, 1435234_at","NP_032704.2, NP_001071163.1"
GeneID:67923,Tceb1,1,"16,642,765","16,656,865","14,100",-,1,3_Keap1_dbminus_NRF2::1::2,-340,upstream,0,0,1,6.00,5.00,18.00,1,3_Keap1_dbminus_NRF2::1,18,Gene Tceb1,"AA407206, AW049146, 2610043E24Rik, AI987979, 2610301I15Rik, Tceb1","transcription elongation factor B (SIII), polypeptide 1",NM_026456.4,"1427914_a_at, 1427915_s_at, 1436226_at",NP_080732.1
GeneID:329101,D030040B21Rik,1,"16,657,552","16,662,278","4,726",+,1,3_Keap1_dbminus_NRF2::1::2,-347,upstream,0,0,1,6.00,5.00,18.00,1,3_Keap1_dbminus_NRF2::1,18,Gene D030040B21Rik,"D030040B21, D030040B21Rik",RIKEN cDNA D030040B21 gene,NR_037998.1,,
GeneID:70397,Tmem70,1,"16,665,191","16,678,275","13,084",+,1,3_Keap1_dbminus_NRF2::1::2,-7986,upstream,0,0,1,6.00,5.00,18.00,1,3_Keap1_dbminus_NRF2::1,18,Gene Tmem70,"1110020A09Rik, Tmem70, 2210416J16Rik",transmembrane protein 70,"NM_027415.2, NM_026392.1",1424541_at,"NP_081691.2, NP_080668.1"
GeneID:17087,Ly96,1,"16,688,456","16,709,605","21,149",+,1,3_Keap1_dbminus_NRF2::1::3,131,in gene,0,0,1,3.00,4.00,15.00,1,3_Keap1_dbminus_NRF2::1,15,Gene Ly96,"ESOP-1, MGC151162, MD-2, MD2, Ly96",lymphocyte antigen 96,"NM_016923.2, NM_001159711.1",,"NP_058619.1, NP_001153183.1"
GeneID:14859,Gsta3,1,"21,240,589","21,265,559","24,970",+,1,3_Keap1_dbminus_NRF2::1::4,-173,upstream,0,0,1,6.00,3.00,35.00,1,3_Keap1_dbminus_NRF2::1,35,Gene Gsta3,"Gst2-3, Gsta3","glutathione S-transferase, alpha 3","NM_010356.3, NM_001077353.1","1423436_at, 1423437_at","NP_034486.2, NP_001070821.1"
GeneID:213539,Bag2,1,"33,745,484","33,757,750","12,266",-,1,3_Keap1_dbminus_NRF2::1::5,1014,in gene,0,0,1,3.00,2.00,14.00,1,3_Keap1_dbminus_NRF2::1,14,Gene Bag2,"BC016230, MGC36682, 2610042A13Rik, Bag2",BCL2-associated athanogene 2,NM_145392.2,1423948_at,NP_663367.1
GeneID:98403,Zfp451,1,"33,761,753","33,814,427","52,674",-,1,3_Keap1_dbminus_NRF2::1::5,57691,downstream,0,0,1,3.00,2.00,14.00,1,3_Keap1_dbminus_NRF2::1,14,Gene Zfp451,"Kiaa0576-hp, Znf451, AI596398, mKIAA1702, COASTER, Zfp451, 4930515K21Rik, 4933435G09Rik",zinc finger protein 451,NM_133817.2,1427208_at,NP_598578.1
GeneID:320705,Bend6,1,"33,852,052","33,907,621","55,569",-,1,3_Keap1_dbminus_NRF2::1::6,-1179,upstream,0,0,1,4.00,4.00,13.00,1,3_Keap1_dbminus_NRF2::1,13,Gene Bend6,"B230209C24Rik, Bend6",BEN domain containing 6,NM_177235.3,1434590_at,NP_796209.2
GeneID:214855,Arid5a,1,"36,307,733","36,324,029","16,296",+,1,3_Keap1_dbminus_NRF2::1::7,387,in gene,0,0,1,8.00,7.00,16.00,1,3_Keap1_dbminus_NRF2::1,16,Gene Arid5a,"Mrf1, D430024K22Rik, MGC36895, Arid5a",AT rich interactive domain 5A (MRF1-like),"NM_001172205.1, NM_001172206.1, NM_145996.4, NR_033310.1",,"NP_001165676.1, NP_001165677.1, NP_666108.2"
GeneID:68833,Pdcl3,1,"38,987,814","38,997,236","9,422",+,1,3_Keap1_dbminus_NRF2::1::9,26,in gene,0,0,1,5.00,8.00,13.00,1,3_Keap1_dbminus_NRF2::1,13,Gene Pdcl3,"1110061A19Rik, C80025, Pdcl3, Viaf1",phosducin-like 3,NM_026850.4,1424002_at,NP_081126.2
GeneID:619289,Rfx8,1,"39,665,301","39,720,989","55,688",-,1,3_Keap1_dbminus_NRF2::1::10,41997,in gene,0,0,1,7.00,2.00,13.00,1,3_Keap1_dbminus_NRF2::1,13,Gene Rfx8,"Rfx8, 4933400N17Rik",regulatory factor X 8,NM_001145660.1,1435724_at,NP_001139132.1
GeneID:26921,Map4k4,1,"39,900,913","40,026,310","125,397",+,2,"3_Keap1_dbminus_NRF2::1::11, 3_Keap1_dbminus_NRF2::1::12","68223, 133039","in gene, downstream",0,0,1,7.50,5.50,27.00,2,3_Keap1_dbminus_NRF2::1,29,Gene Map4k4,"AU045934, Nik, HGK, AW046177, Map4k4, AU043147, 9430080K19Rik",mitogen-activated protein kinase kinase kinase kinase 4,"NM_008696.2, NM_001252200.1, NM_001252201.1, NM_001252202.1","1422615_at, 1434184_s_at","NP_032722.2, NP_001239129.1, NP_001239130.1, NP_001239131.1"
